"title","latitude","longitude"
"American Chestnut",35.19485741,-83.61695137
"American Chestnut",35.03762588,-83.28556424
"Other",37.25410432558251,-85.36816257060073
"Other",37.15160651601585,-86.06392691851227
"Other",37.254297318903035,-85.36695876166723
"Other",37.2538312850867,-85.36657453522585
"Other",37.25364449437452,-85.36674217328928
"Other",37.9536853731032,-84.50190360665741
"Other",37.95362133536297,-84.50179983869614
"White Oak",37.40521270813223,-83.25410102597267
"White Oak",37.46359930842878,-83.14106650658245
"White Oak",37.463517542963345,-83.14100934200282
"White Oak",37.42493692841441,-83.16619916611447
"White Oak",37.47098520585105,-83.14584341446988
"White Oak",37.47761274007718,-83.12177863554835
"White Oak",37.47098520585105,-83.14584341446988
"White Oak",37.470918637735274,-83.14673577443058
"White Oak",37.46349520519139,-83.14093382105524
"White Oak",37.463371446391065,-83.14097489238078
"Other",37.46374008249255,-83.14104177996809
"White Oak",37.470766967197385,-83.14679939307565
"Other",37.47020621787521,-83.14718144022221
"Other",37.46374410580607,-83.14135107219512
"Other",37.46378387793662,-83.14026201151603
"Other",37.47020621787521,-83.14718144022221
"White Oak",37.47052229944381,-83.14681531869168
"White Oak",37.470401222852495,-83.14685203142757
"White Oak",37.46370575859906,-83.14119231894905
"Hemlock",37.47043973769757,-83.14697566449935
"White Oak",37.47047049928221,-83.14671431675846
"Other",37.78265389617326,-82.77894691571852
"Other",41.80521849546749,-72.24747005856806
"White Oak",41.805468779096195,-72.24608838564926
"White Oak",37.45380526412041,-83.92815873034664
"White Oak",37.45423395655812,-83.92805705786117
"White Oak",37.45399804789336,-83.92810760073729
"White Oak",37.45417356494577,-83.92819737092026
"Ash",38.036349127104536,-84.49153301313937
"American Elm",38.049026839470535,-84.48936235167504
"Ash",41.81011520330031,-72.25572941831523
"Other",41.80816092066635,-72.25415169268125
"Other",41.811803192870514,-72.24855761050456
"Other",41.807549712287084,-72.25352397195273
"Other",41.80770867508073,-72.25340779877477
"Other",41.80638089779932,-72.25072550594085
"Other",41.80781370032747,-72.25183811976784
"Other",41.80749468509276,-72.25348709157878
"Other",46.73319607,-117.18033117
"Ash",38.05103560447511,-84.49443725876928
"Ash",38.05106515068379,-84.49458813302637
"White Oak",38.03612742576565,-84.50274364099326
"White Oak",38.03620550319369,-84.50294874616387
"White Oak",38.03615936081673,-84.50269058354618
"Ash",44.47039514784186,-73.21992924443745
"Other",37.25231421876672,-87.2065767105092
"Other",36.84669576123063,-87.9340174422487
"Other",36.84709256052677,-87.93537950151408
"Other",36.847166087483735,-87.93530932302565
"Other",36.846736245822946,-87.93411274448776
"Other",36.84696243148003,-87.93525486261392
"Other",36.84676834851209,-87.93479343884432
"Other",36.84674186169807,-87.93496007107937
"Other",36.846789973822275,-87.9348169081732
"Other",36.84687148783062,-87.9338033684417
"Other",36.846664915826956,-87.93382314973319
"Other",36.84672560080592,-87.93386925020063
"Other",36.846212376874725,-87.93377109811449
"American Elm",38.05260524157253,-84.48794539094389
"Other",38.212899751996815,-84.51134925716045
"Other",38.21284627545458,-84.51152443893673
"Ash",38.21290528405291,-84.5114585571778
"Other",38.21284627545458,-84.51152443893673
"Other",38.21250949058515,-84.51142553247931
"Ash",38.21290528405291,-84.5114585571778
"Other",38.2128970697878,-84.51166718274774
"Other",38.212654413690984,-84.51148370288732
"American Chestnut",38.816414382344874,-84.62307642221882
